time,x,y,yaw,vel_x,yaw_vel,evader_x,evader_y,evader_yaw
5.91E-05,,,,,,,,
0.024400473,6.03E-05,-4.47E-06,3.88E-06,,,2.000060289,1.999995532,3.88E-06
0.058621407,6.03E-05,-4.47E-06,3.90E-06,,,2.000060294,1.999995529,3.90E-06
0.092092514,6.04E-05,-4.48E-06,3.91E-06,,,2.000060297,1.999995528,3.91E-06
0.126517057,6.04E-05,-4.48E-06,3.93E-06,,,2.000060281,1.999995528,3.91E-06
0.160748243,6.04E-05,-4.48E-06,3.94E-06,,,2.000060278,1.999995526,3.90E-06
0.194629192,6.04E-05,-4.48E-06,3.94E-06,,,2.000060278,1.999995527,3.89E-06
0.228435755,6.04E-05,-4.48E-06,3.95E-06,,,2.000060293,1.999995526,3.88E-06
0.262401819,6.03E-05,-4.48E-06,3.95E-06,,,2.000060323,1.999995525,3.88E-06
0.296387196,6.04E-05,-4.48E-06,3.94E-06,,,2.000060351,1.999995525,3.90E-06
0.330430269,6.04E-05,-4.48E-06,3.93E-06,,,2.000060367,1.999995523,3.91E-06
0.364737749,6.04E-05,-4.48E-06,3.92E-06,,,2.00006037,1.999995522,3.93E-06
0.398462296,6.04E-05,-4.48E-06,3.93E-06,,,2.00006038,1.999995521,3.95E-06
0.433794022,6.04E-05,-4.49E-06,3.95E-06,,,2.000060375,1.99999552,3.95E-06
0.467103481,6.04E-05,-4.49E-06,3.97E-06,,,2.000060359,1.999995518,3.95E-06
0.500758886,6.04E-05,-4.49E-06,3.99E-06,,,2.000060358,1.999995519,3.95E-06
0.535136223,6.04E-05,-4.49E-06,4.00E-06,,,2.000060345,1.999995518,3.95E-06
0.569788694,6.04E-05,-4.49E-06,4.00E-06,,,2.000060351,1.999995517,3.94E-06
0.604842901,6.04E-05,-4.49E-06,3.99E-06,,,2.000060372,1.999995516,3.93E-06
0.64059186,6.04E-05,-4.49E-06,3.97E-06,,,2.000060406,1.999995515,3.94E-06
0.674460888,6.05E-05,-4.49E-06,3.97E-06,,,2.000060427,1.999995514,3.95E-06
0.707172871,6.05E-05,-4.49E-06,3.97E-06,,,2.000060454,1.999995512,3.96E-06
0.740971804,6.05E-05,-4.49E-06,3.99E-06,,,2.000060465,1.999995512,3.97E-06
0.77825141,6.05E-05,-4.49E-06,4.01E-06,,,2.000060464,1.999995511,3.99E-06
0.830212355,6.05E-05,-4.50E-06,4.03E-06,,,2.000060471,1.99999551,4.00E-06
0.864901543,6.05E-05,-4.50E-06,4.04E-06,,,2.000060463,1.99999551,4.01E-06
0.895766497,6.05E-05,-4.50E-06,4.04E-06,,,2.000060443,1.999995507,4.01E-06
0.927531719,6.05E-05,-4.50E-06,4.03E-06,,,2.000060441,1.999995509,4.01E-06
0.959371328,6.05E-05,-4.50E-06,4.02E-06,,,2.000060454,1.999995508,3.99E-06
0.993425846,6.05E-05,-4.50E-06,4.01E-06,,,2.000060481,1.999995507,3.98E-06
1.025672674,6.05E-05,-4.50E-06,4.01E-06,,,2.000060502,1.999995506,3.98E-06
1.059708834,6.06E-05,-4.50E-06,4.03E-06,,,2.000060532,1.999995505,4.00E-06
1.092695236,6.06E-05,-4.50E-06,4.05E-06,,,2.000060536,1.999995505,4.02E-06
1.126726389,6.06E-05,-4.50E-06,4.07E-06,,,2.000060544,1.999995502,4.04E-06
1.161222219,6.06E-05,-4.50E-06,4.08E-06,,,2.000060549,1.999995502,4.05E-06
1.195361853,6.06E-05,-4.50E-06,4.08E-06,,,2.00006053,1.999995502,4.05E-06
1.229336977,6.06E-05,-4.50E-06,4.07E-06,,,2.000060529,1.999995501,4.05E-06
1.263282776,6.06E-05,-4.50E-06,4.05E-06,,,2.000060516,1.999995501,4.04E-06
1.296969652,6.06E-05,-4.50E-06,4.04E-06,,,2.00006051,1.999995501,4.04E-06
1.331195116,6.06E-05,-4.50E-06,4.05E-06,,,2.000060526,1.999995499,4.03E-06
1.365736008,6.06E-05,-4.50E-06,4.08E-06,,,2.000060547,1.999995499,4.04E-06
1.399914265,6.06E-05,-4.51E-06,4.11E-06,,,2.000060579,1.999995498,4.05E-06
1.434535503,6.06E-05,-4.51E-06,4.12E-06,,,2.000060601,1.999995497,4.06E-06
1.468954086,6.06E-05,-4.51E-06,4.12E-06,,,2.000060627,1.999995496,4.06E-06
1.503064394,6.06E-05,-4.51E-06,4.11E-06,,,2.000060628,1.999995497,4.08E-06
1.536892891,6.06E-05,-4.51E-06,4.09E-06,,,2.000060632,1.999995494,4.09E-06
1.570993185,6.06E-05,-4.51E-06,4.08E-06,,,2.000060634,1.999995493,4.10E-06
1.605897188,6.07E-05,-4.51E-06,4.09E-06,,,2.000060618,1.999995493,4.11E-06
1.640138626,6.07E-05,-4.51E-06,4.10E-06,,,2.000060614,1.999995492,4.10E-06
1.675839663,6.07E-05,-4.51E-06,4.12E-06,,,2.000060613,1.999995493,4.09E-06
1.70991683,6.07E-05,-4.51E-06,4.14E-06,,,2.000060627,1.999995493,4.08E-06
1.745139599,6.07E-05,-4.51E-06,4.15E-06,,,2.000060657,1.999995492,4.08E-06
1.796352386,6.07E-05,-4.51E-06,4.15E-06,,,2.000060685,1.999995492,4.09E-06
1.834600687,6.07E-05,-4.51E-06,4.15E-06,,,2.0000607,1.99999549,4.11E-06
1.866972446,6.07E-05,-4.51E-06,4.16E-06,,,2.000060702,1.999995489,4.13E-06
1.897532463,6.07E-05,-4.51E-06,4.14E-06,,,2.000060712,1.999995489,4.14E-06
1.929955244,6.07E-05,-4.51E-06,4.13E-06,,,2.000060706,1.999995489,4.15E-06
1.962516069,6.08E-05,-4.51E-06,4.13E-06,,,2.000060689,1.999995486,4.15E-06
1.990929365,6.08E-05,-4.51E-06,4.13E-06,0.23,nan,2.000060687,1.999995488,4.15E-06
2.024019003,6.08E-05,-4.52E-06,4.14E-06,0.23,nan,2.000060674,1.999995488,4.14E-06
2.029109478,-0.001090657,-4.51E-06,6.18E-06,0.23,nan,2.000060674,1.999995488,4.14E-06
2.049435616,-0.001090657,-4.51E-06,6.18E-06,0.23,nan,2.000060674,1.999995488,4.14E-06
2.062798977,-0.003399947,-4.52E-06,9.17E-06,0.23,nan,2.000060679,1.999995487,4.13E-06
2.06328392,-0.003399947,-4.52E-06,9.17E-06,0.23,nan,2.000060679,1.999995487,4.13E-06
2.096305847,-0.006866928,-4.53E-06,1.11E-05,0.23,nan,2.001210206,1.999995481,2.12E-06
2.0967381,-0.006866928,-4.53E-06,1.11E-05,0.23,nan,2.001210206,1.999995481,2.12E-06
2.116519213,-0.006866928,-4.53E-06,1.11E-05,0.23,8.12E-05,2.001210206,1.999995481,2.12E-06
2.130394459,-0.011486156,-4.55E-06,1.07E-05,0.23,8.12E-05,2.003515347,1.999995465,-1.46E-06
2.130880833,-0.011486156,-4.55E-06,1.07E-05,0.23,8.12E-05,2.003515347,1.999995465,-1.46E-06
2.164570332,-0.014955636,-4.55E-06,5.87E-06,0.23,8.12E-05,2.00680909,1.999996119,0.000421258
2.165103912,-0.014955636,-4.55E-06,5.87E-06,0.23,8.12E-05,2.00680909,1.999996119,0.000421258
2.183047056,-0.014955636,-4.55E-06,5.87E-06,0.23,-8.62E-05,2.00680909,1.999996119,0.000421258
2.198474169,-0.017265661,-4.53E-06,1.10E-06,0.23,-8.62E-05,2.010201668,2.000000951,0.002577433
2.198950052,-0.017265661,-4.53E-06,1.10E-06,0.23,-8.62E-05,2.010201668,2.000000951,0.002577433
2.232654572,-0.018428617,-4.52E-06,1.46E-08,0.23,-8.62E-05,2.013592781,2.000016497,0.006925115
2.233932734,-0.018428617,-4.52E-06,1.46E-08,0.23,-8.62E-05,2.013592781,2.000016497,0.006925115
2.249909639,-0.018428617,-4.52E-06,1.46E-08,0.23,-9.67E-05,2.013592781,2.000016497,0.006925115
2.266366005,-0.018435455,-4.52E-06,1.96E-06,0.23,-9.67E-05,2.016983212,2.000048243,0.012227298
2.266830206,-0.018435455,-4.52E-06,1.96E-06,0.23,-9.67E-05,2.016983212,2.000048243,0.012227298
2.300743818,-0.0172902,-4.52E-06,3.17E-06,0.23,-9.67E-05,2.020374276,2.000096846,0.016803098
2.301205158,-0.0172902,-4.52E-06,3.17E-06,0.23,-9.67E-05,2.020374276,2.000096846,0.016803098
2.329075813,-0.0172902,-4.52E-06,3.17E-06,0.23,5.21E-05,2.023766646,2.000158782,0.019918795
2.334196329,-0.014987431,-4.53E-06,1.00E-06,0.23,5.21E-05,2.023766646,2.000158782,0.019918795
2.36830759,-0.01152619,-4.57E-06,-3.29E-06,0.23,5.21E-05,2.027160005,2.000229949,0.022129891
2.368673086,-0.01152619,-4.57E-06,-3.29E-06,0.23,5.21E-05,2.027160005,2.000229949,0.022129891
2.382865667,-0.01152619,-4.57E-06,-3.29E-06,0.23,-0.000106643,2.027160005,2.000229949,0.022129891
2.40220356,-0.006909767,-4.62E-06,-6.62E-06,0.23,-0.000106643,2.030553446,2.000308949,0.024556053
2.40265727,-0.006909767,-4.62E-06,-6.62E-06,0.23,-0.000106643,2.030553446,2.000308949,0.024556053
2.436273336,-0.001137972,-4.68E-06,-7.44E-06,0.23,-0.000106643,2.033946253,2.000397583,0.027891973
2.436733246,-0.001137972,-4.68E-06,-7.44E-06,0.23,-0.000106643,2.033946253,2.000397583,0.027891973
2.449371576,-0.001137972,-4.68E-06,-7.44E-06,0.23,-6.85E-05,2.033946253,2.000397583,0.027891973
2.470299482,0.005789264,-4.74E-06,-6.61E-06,0.23,-6.85E-05,2.03733914,2.000498656,0.031973714
2.470721483,0.005789264,-4.74E-06,-6.61E-06,0.23,-6.85E-05,2.03733914,2.000498656,0.031973714
2.50490737,0.013601835,-4.81E-06,-6.08E-06,0.23,-6.85E-05,2.040731964,2.000613617,0.036104126
2.505406857,0.013601835,-4.81E-06,-6.08E-06,0.23,-6.85E-05,2.040731964,2.000613617,0.036104126
2.533128977,0.013601835,-4.81E-06,-6.08E-06,0.23,2.25E-05,2.044125125,2.000741783,0.039711037
2.538348198,0.021413958,-4.87E-06,-7.11E-06,0.23,2.25E-05,2.044125125,2.000741783,0.039711037
2.573269606,0.029226497,-4.96E-06,-1.02E-05,0.23,2.25E-05,2.047519402,2.00088131,0.042756889
2.573778391,0.029226497,-4.96E-06,-1.02E-05,0.23,2.25E-05,2.047519402,2.00088131,0.042756889
2.583786011,0.029226497,-4.96E-06,-1.02E-05,0.23,-6.75E-05,2.047519402,2.00088131,0.042756889
2.607833862,0.037039453,-5.05E-06,-1.25E-05,0.23,-6.75E-05,2.050913049,2.001030956,0.045643872
2.608361959,0.037039453,-5.05E-06,-1.25E-05,0.23,-6.75E-05,2.050913049,2.001030956,0.045643872
2.64227581,0.044852824,-5.13E-06,-1.30E-05,0.23,-6.75E-05,2.054308936,2.001190772,0.048802574
2.642800808,0.044852824,-5.13E-06,-1.30E-05,0.23,-6.75E-05,2.054308936,2.001190772,0.048802574
2.650069952,0.044852824,-5.13E-06,-1.30E-05,0.23,-4.65E-05,2.054308936,2.001190772,0.048802574
2.675695658,0.052666607,-5.21E-06,-1.39E-05,0.23,-4.65E-05,2.057699307,2.001361767,0.05235567
2.676162243,0.052666607,-5.21E-06,-1.39E-05,0.23,-4.65E-05,2.057699307,2.001361767,0.05235567
2.70947814,0.060480801,-5.31E-06,-1.66E-05,0.23,-4.65E-05,2.061091062,2.001545047,0.056095018
2.709995508,0.060480801,-5.31E-06,-1.66E-05,0.23,-4.65E-05,2.061091062,2.001545047,0.056095018
2.738049984,0.060480801,-5.31E-06,-1.66E-05,0.23,-6.02E-05,2.064479708,2.001740863,0.059716777
2.743048906,0.068295404,-5.43E-06,-2.05E-05,0.23,-6.02E-05,2.064479708,2.001740863,0.059716777
2.777686119,0.076110411,-5.58E-06,-2.41E-05,0.23,-6.02E-05,2.067866729,2.001948474,0.063076569
2.778312445,0.076110411,-5.58E-06,-2.41E-05,0.23,-6.02E-05,2.067866729,2.001948474,0.063076569
2.78277421,0.076110411,-5.58E-06,-2.41E-05,0.23,-0.000122923,2.067866729,2.001948474,0.063076569
2.811886072,0.08392582,-5.75E-06,-2.67E-05,0.23,-0.000122923,2.071250256,2.002167005,0.066264176
2.812506437,0.08392582,-5.75E-06,-2.67E-05,0.23,-0.000122923,2.071250256,2.002167005,0.066264176
2.84569335,0.09174163,-5.93E-06,-2.91E-05,0.23,-0.000122923,2.074636255,2.002396562,0.069481204
2.846300364,0.09174163,-5.93E-06,-2.91E-05,0.23,-0.000122923,2.074636255,2.002396562,0.069481204
2.849514723,0.09174163,-5.93E-06,-2.91E-05,0.23,-8.31E-05,2.074636255,2.002396562,0.069481204
2.879431486,0.099557838,-6.14E-06,-3.30E-05,0.23,-8.31E-05,2.078017631,2.002636951,0.072860415
2.879846334,0.099557838,-6.14E-06,-3.30E-05,0.23,-8.31E-05,2.078017631,2.002636951,0.072860415
2.914307594,0.107374441,-6.39E-06,-3.85E-05,0.23,-8.31E-05,2.081399832,2.002889161,0.076379403
2.915077448,0.107374441,-6.39E-06,-3.85E-05,0.23,-8.31E-05,2.081399832,2.002889161,0.076379403
2.942308903,0.107374441,-6.39E-06,-3.85E-05,0.23,-0.000154174,2.084782234,2.003153277,0.079913665
2.947905064,0.115191436,-6.67E-06,-4.35E-05,0.23,-0.000154174,2.084782234,2.003153277,0.079913665
2.981627226,0.123008821,-6.97E-06,-4.74E-05,0.23,-0.000154174,2.088163223,2.003429411,0.083355903
2.982208967,0.123008821,-6.97E-06,-4.74E-05,0.23,-0.000154174,2.088163223,2.003429411,0.083355903
2.982855558,0.123008821,-6.97E-06,-4.74E-05,0.23,0.287831311,2.088163223,2.003429411,0.083355903
3.015736341,0.130826594,-7.30E-06,-5.18E-05,0.23,0.287831311,2.091544312,2.003716997,0.086694204
3.016463518,0.130826594,-7.30E-06,-5.18E-05,0.23,0.287831311,2.091544312,2.003716997,0.086694204
