time,x,y,yaw,vel_x,yaw_vel,evader_x,evader_y,evader_yaw
7.72E-05,,,,,,,,
0.003468513,5.97E-05,-4.34E-06,3.49E-06,,,2.000059522,1.999995646,3.47E-06
0.035086632,5.97E-05,-4.34E-06,3.49E-06,,,2.000059533,1.999995644,3.49E-06
0.06729126,5.96E-05,-4.34E-06,3.50E-06,,,2.000059563,1.999995641,3.52E-06
0.100183725,5.96E-05,-4.35E-06,3.49E-06,,,2.000059608,1.999995639,3.54E-06
0.133469105,5.95E-05,-4.35E-06,3.48E-06,,,2.000059648,1.999995637,3.55E-06
0.166603804,5.95E-05,-4.35E-06,3.47E-06,,,2.000059703,1.999995633,3.56E-06
0.19995904,5.95E-05,-4.35E-06,3.48E-06,,,2.000059776,1.999995632,3.57E-06
0.233497858,5.96E-05,-4.36E-06,3.50E-06,,,2.000059822,1.999995631,3.56E-06
0.267270088,5.96E-05,-4.36E-06,3.52E-06,,,2.000059859,1.999995628,3.54E-06
0.301225424,5.96E-05,-4.36E-06,3.54E-06,,,2.00005986,1.999995626,3.54E-06
0.33543992,5.97E-05,-4.37E-06,3.57E-06,,,2.000059851,1.999995624,3.55E-06
0.36958766,5.98E-05,-4.37E-06,3.58E-06,,,2.00005984,1.999995621,3.57E-06
0.403709173,5.98E-05,-4.37E-06,3.56E-06,,,2.000059805,1.999995619,3.60E-06
0.43770647,5.99E-05,-4.37E-06,3.53E-06,,,2.000059777,1.999995618,3.62E-06
0.471770763,5.99E-05,-4.37E-06,3.52E-06,,,2.000059771,1.999995616,3.61E-06
0.505557537,5.98E-05,-4.37E-06,3.54E-06,,,2.00005977,1.999995614,3.58E-06
0.539794445,5.98E-05,-4.38E-06,3.57E-06,,,2.000059769,1.999995613,3.56E-06
0.573632717,5.98E-05,-4.38E-06,3.60E-06,,,2.000059789,1.99999561,3.57E-06
0.608206272,5.98E-05,-4.38E-06,3.61E-06,,,2.000059827,1.999995608,3.60E-06
0.642265081,5.98E-05,-4.38E-06,3.59E-06,,,2.000059849,1.999995606,3.63E-06
0.676384211,5.98E-05,-4.38E-06,3.56E-06,,,2.000059879,1.999995604,3.64E-06
0.71219492,5.98E-05,-4.39E-06,3.55E-06,,,2.000059902,1.999995603,3.63E-06
0.747294903,5.98E-05,-4.39E-06,3.57E-06,,,2.000059906,1.9999956,3.62E-06
0.78621459,5.99E-05,-4.39E-06,3.60E-06,,,2.000059918,1.999995597,3.63E-06
0.820886135,5.99E-05,-4.39E-06,3.62E-06,,,2.000059913,1.999995597,3.65E-06
0.854087591,5.99E-05,-4.39E-06,3.62E-06,,,2.000059905,1.999995595,3.67E-06
0.887643576,5.99E-05,-4.40E-06,3.62E-06,,,2.000059902,1.999995593,3.67E-06
0.922071218,5.99E-05,-4.40E-06,3.61E-06,,,2.000059909,1.999995592,3.66E-06
0.959506273,5.99E-05,-4.40E-06,3.61E-06,,,2.000059926,1.999995591,3.64E-06
0.993563414,5.99E-05,-4.40E-06,3.61E-06,0,0,2.000059948,1.999995589,3.63E-06
1.027410269,5.99E-05,-4.40E-06,3.64E-06,0,0,2.000059971,1.999995587,3.65E-06
1.061290503,5.99E-05,-4.40E-06,3.67E-06,0,0,2.000059987,1.999995586,3.68E-06
1.061847925,5.99E-05,-4.41E-06,3.67E-06,nan,nan,2.000059987,1.999995586,3.68E-06
1.095034838,-0.001092207,-4.40E-06,5.59E-06,nan,nan,2.000059984,1.999995583,3.70E-06
1.129074097,-0.001092207,-4.40E-06,5.59E-06,nan,nan,2.000059988,1.99999558,3.72E-06
1.163130522,-0.003397012,-4.41E-06,8.57E-06,nan,nan,2.000059977,1.99999558,3.72E-06
1.197012424,-0.006865277,-4.42E-06,1.06E-05,nan,nan,2.000059967,1.999995578,3.70E-06
1.197646856,-0.011488888,-4.43E-06,1.02E-05,0.10109664,nan,2.000059967,1.999995578,3.70E-06
1.23094511,-0.017265757,-4.44E-06,8.37E-06,0.10109664,nan,2.000059969,1.999995578,3.69E-06
1.264923334,-0.017265757,-4.44E-06,8.37E-06,0.167407546,-3.72E-06,2.000059987,1.999995576,3.68E-06
1.29954505,-0.024199028,-4.44E-06,6.85E-06,0.167407546,-3.72E-06,2.00006002,1.999995575,3.69E-06
1.336426735,-0.029979944,-4.42E-06,4.02E-06,0.167407546,-3.72E-06,2.000060028,1.999995573,3.70E-06
1.337388515,-0.034606985,-4.39E-06,2.08E-06,0.167483223,-7.40E-06,2.000060028,1.999995573,3.70E-06
1.369413376,-0.038078181,-4.37E-06,2.37E-06,0.167483223,-7.40E-06,2.000060044,1.999995571,3.72E-06
1.402941465,-0.038078181,-4.37E-06,2.37E-06,0.098830264,-2.80E-06,2.001211581,1.999995565,1.66E-06
1.436401367,-0.040389254,-4.36E-06,4.81E-06,0.098830264,-2.80E-06,2.003514605,1.999995547,-1.96E-06
1.47050643,-0.041555957,-4.35E-06,7.04E-06,0.098830264,-2.80E-06,2.006808365,1.9999962,0.000420763
1.47135973,-0.041567905,-4.35E-06,5.70E-06,0.038382521,7.95E-06,2.006808365,1.9999962,0.000420763
1.504719019,-0.040424419,-4.38E-06,7.47E-07,0.038382521,7.95E-06,2.010200936,2.000001028,0.002577047
1.538777828,-0.040424419,-4.38E-06,7.47E-07,0.02336533,-1.07E-05,2.013592042,2.000016572,0.006924851
1.576500416,-0.039126641,-4.40E-06,-3.05E-06,0.02336533,-1.07E-05,2.016982465,2.000048316,0.012227074
1.57790494,-0.038482076,-4.39E-06,-1.75E-06,0.01300131,-0.029674837,2.016982465,2.000048316,0.012227074
1.609921694,-0.037693398,-4.37E-06,1.58E-06,0.01300131,-0.029674837,2.020373521,2.000096918,0.016802822
1.64808321,-0.037693398,-4.37E-06,1.58E-06,0.013960947,5.65E-06,2.023765884,2.000158851,0.019918437
1.682202339,-0.03739894,-4.72E-06,-0.000198406,0.013960947,5.65E-06,2.027159233,2.000230018,0.022129497
1.715480328,-0.036928292,-4.92E-06,-0.00090025,0.013960947,5.65E-06,2.030552667,2.000309014,0.024555682
1.716193676,-0.036456272,-5.36E-06,-0.001521038,0.006788538,-0.00153311,2.030552667,2.000309014,0.024555682
1.748959064,-0.036226556,-5.43E-06,-0.00161307,0.006788538,-0.00153311,2.033945472,2.000397649,0.027891666
1.782818794,-0.036226556,-5.43E-06,-0.00161307,0.006655514,-0.001211794,2.037338381,2.000498719,0.031973458
