time,x,y,yaw,vel_x,yaw_vel,evader_x,evader_y,evader_yaw
2.19E-05,,,,,,,,
0.001167774,6.23E-05,-4.57E-06,5.00E-06,,,2.000062361,1.999995431,5.03E-06
0.035901308,6.24E-05,-4.57E-06,5.01E-06,,,2.000062396,1.999995431,5.03E-06
0.069577456,6.24E-05,-4.57E-06,5.03E-06,,,2.000062426,1.999995431,5.05E-06
0.103641987,6.24E-05,-4.57E-06,5.06E-06,,,2.000062451,1.99999543,5.07E-06
0.137578487,6.24E-05,-4.57E-06,5.08E-06,,,2.000062456,1.99999543,5.09E-06
0.171826363,6.24E-05,-4.57E-06,5.08E-06,,,2.000062468,1.99999543,5.10E-06
0.205779791,6.24E-05,-4.57E-06,5.07E-06,,,2.000062472,1.99999543,5.10E-06
0.239575624,6.24E-05,-4.57E-06,5.07E-06,,,2.000062458,1.999995429,5.10E-06
0.273756504,6.24E-05,-4.57E-06,5.06E-06,,,2.000062452,1.999995427,5.11E-06
0.307673454,6.24E-05,-4.57E-06,5.05E-06,,,2.000062429,1.999995428,5.12E-06
0.341480732,6.24E-05,-4.57E-06,5.05E-06,,,2.000062428,1.99999543,5.12E-06
0.375582933,6.24E-05,-4.57E-06,5.07E-06,,,2.000062439,1.999995429,5.10E-06
0.409605265,6.24E-05,-4.57E-06,5.09E-06,,,2.000062458,1.999995429,5.08E-06
0.44395709,6.24E-05,-4.57E-06,5.12E-06,,,2.000062491,1.999995429,5.08E-06
0.477937698,6.24E-05,-4.57E-06,5.12E-06,,,2.000062526,1.999995429,5.10E-06
0.512476921,6.24E-05,-4.57E-06,5.11E-06,,,2.000062538,1.999995429,5.12E-06
0.54621768,6.24E-05,-4.57E-06,5.08E-06,,,2.00006255,1.999995428,5.14E-06
0.580842495,6.25E-05,-4.57E-06,5.07E-06,,,2.000062567,1.999995428,5.15E-06
0.61534524,6.25E-05,-4.57E-06,5.08E-06,,,2.000062558,1.999995429,5.15E-06
0.649529696,6.25E-05,-4.57E-06,5.10E-06,,,2.000062553,1.999995426,5.15E-06
0.683044195,6.25E-05,-4.57E-06,5.12E-06,,,2.000062545,1.999995427,5.16E-06
0.717296362,6.25E-05,-4.57E-06,5.14E-06,,,2.000062519,1.999995427,5.17E-06
0.751407385,6.25E-05,-4.57E-06,5.14E-06,,,2.000062517,1.999995428,5.16E-06
0.785663366,6.25E-05,-4.57E-06,5.14E-06,,,2.000062531,1.999995428,5.15E-06
0.819253445,6.25E-05,-4.57E-06,5.15E-06,,,2.000062558,1.999995428,5.13E-06
0.852872133,6.25E-05,-4.57E-06,5.15E-06,,,2.000062579,1.999995427,5.13E-06
0.88678503,6.25E-05,-4.57E-06,5.15E-06,,,2.00006261,1.999995427,5.15E-06
0.921029091,6.25E-05,-4.57E-06,5.13E-06,,,2.000062615,1.999995428,5.17E-06
0.955390453,6.26E-05,-4.57E-06,5.12E-06,,,2.000062622,1.999995426,5.20E-06
0.989284515,6.26E-05,-4.57E-06,5.13E-06,,,2.000062628,1.999995426,5.20E-06
1.023131371,6.26E-05,-4.57E-06,5.15E-06,,,2.000062609,1.999995426,5.20E-06
1.057344675,6.26E-05,-4.57E-06,5.18E-06,,,2.000062609,1.999995427,5.20E-06
1.090834618,6.26E-05,-4.57E-06,5.20E-06,,,2.000062613,1.999995427,5.19E-06
1.125422001,6.26E-05,-4.57E-06,5.20E-06,,,2.000062631,1.999995427,5.18E-06
1.159758806,6.26E-05,-4.57E-06,5.18E-06,,,2.000062661,1.999995427,5.17E-06
1.199741602,6.26E-05,-4.57E-06,5.15E-06,,,2.000062666,1.999995426,5.18E-06
1.259988308,6.26E-05,-4.57E-06,5.15E-06,,,2.000062679,1.999995425,5.21E-06
1.293764114,6.26E-05,-4.57E-06,5.16E-06,,,2.000062675,1.999995426,5.24E-06
